Source DataFile                                                                                                                ,      DATE,     TIME,       Time__mSec,     PIF,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_RAT,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-------------------------------------------------------------------------------------------------------------------------------,----------,---------,-----------------,--------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\20211125\PICO_2021112511343_SySl1010_long_data.csv                                                                ,2021/11/25, 13:47:45,    1637862465417,  -65.05,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.767,   133.060,    223.980,     90.920,  0.4059,  0.6833,    98.31,  0.3560,     0.000,    2.687,  0.000,     2116,  0.000,     6875,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.678,   328.35,   222.72,  0.131,       2.00,    0.000,    600.00,  238.90,   0.010,     0.0,     0.0,     0.0,     0.0,    2559,    1.5000,
C:\LIFT\DATA\20211125\PICO_2021112511343_SySl1010_long_data.csv                                                                ,2021/11/25, 13:47:48,    1637862468004,  -65.02,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      5.658,   133.920,    225.110,     91.190,  0.4051,  0.6809,    96.70,  0.2790,     0.000,    3.081,  0.000,     1719,  0.000,     6225,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.642,   431.95,   277.16,  0.000,       2.00,    0.000,    600.00,  254.77,   0.010,     0.0,     0.0,     0.0,     0.0,    2020,    1.5000,
C:\LIFT\DATA\20211125\PICO_2021112511343_SySl1010_long_data.csv                                                                ,2021/11/25, 13:50:49,    1637862649592,  -45.87,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,   20.00,    0.00,     11.504,   153.040,    261.050,    108.010,  0.4138,  0.7058,    99.82,  0.1450,     0.000,    3.156,  0.000,     1512,  0.000,     5595,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.630,   492.90,   310.32,  0.000,       2.00,    0.000,    600.00,  247.79,   0.010,     0.0,     0.0,     0.0,     0.0,    1773,    1.5000,
C:\LIFT\DATA\20211125\PICO_2021112511343_SySl1010_long_data.csv                                                                ,2021/11/25, 13:50:52,    1637862652148,  -65.44,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     15.119,   140.890,    262.980,    122.090,  0.4643,  0.8666,    95.94,  0.2460,     0.000,    2.898,  0.000,     1879,  0.000,     6523,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.630,   395.96,   249.39,  0.000,       2.00,    0.000,    600.00,  318.62,   0.010,     0.0,     0.0,     0.0,     0.0,    2251,    1.5000,
C:\LIFT\DATA\20211125\PICO_2021112511343_SySl1010_long_data.csv                                                                ,2021/11/25, 13:53:53,    1637862833699,  -19.17,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,   40.00,    0.00,      9.050,   183.270,    288.240,    104.970,  0.3642,  0.5728,    97.68,  0.0000,     0.000,    3.644,  0.000,     1298,  0.000,     4827,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.588,   648.34,   381.37,  0.000,       2.00,    0.000,    600.00,  270.02,   0.010,     0.0,     0.0,     0.0,     0.0,    1325,    1.5000,
C:\LIFT\DATA\20211125\PICO_2021112511343_SySl1010_long_data.csv                                                                ,2021/11/25, 13:53:56,    1637862836283,  -65.74,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      7.008,   153.960,    278.040,    124.080,  0.4463,  0.8059,   111.08,  0.3270,     0.000,    2.875,  0.000,     2302,  0.000,     7846,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.761,   270.04,   205.38,  0.119,       2.00,    0.000,    600.00,  335.77,   0.010,     0.0,     0.0,     0.0,     0.0,    2729,    1.5000,
C:\LIFT\DATA\20211125\PICO_2021112511343_SySl1010_long_data.csv                                                                ,2021/11/25, 13:56:58,    1637863017889,   41.58,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,   80.00,    0.00,      6.533,   224.410,    302.740,     78.330,  0.2587,  0.3490,   115.09,  0.0000,     0.000,    4.837,  0.000,     1308,  0.000,     5172,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.693,   607.08,   420.75,  0.312,       2.00,    0.000,    600.00,  190.56,   0.010,     0.0,     0.0,     0.0,     0.0,    1069,    1.5000,
C:\LIFT\DATA\20211125\PICO_2021112511343_SySl1010_long_data.csv                                                                ,2021/11/25, 13:57:00,    1637863020494,  -66.27,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      7.056,   165.720,    293.720,    128.000,  0.4358,  0.7724,   114.66,  0.2480,     0.000,    2.804,  0.000,     2388,  0.000,     7786,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.759,   261.03,   198.22,  0.335,       2.00,    0.000,    600.00,  340.64,   0.010,     0.0,     0.0,     0.0,     0.0,    2777,    1.5000,
C:\LIFT\DATA\20211125\PICO_2021112511343_SySl1010_long_data.csv                                                                ,2021/11/25, 14:00:02,    1637863202058,  166.94,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,  160.00,    0.00,      3.277,   262.420,    318.570,     56.150,  0.1763,  0.2140,   112.59,  0.0000,     0.000,    5.539,  0.000,     1195,  0.000,     5271,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.678,   687.24,   465.96,  0.383,       2.00,    0.000,    600.00,  115.23,   0.010,     0.0,     0.0,     0.0,     0.0,     952,    1.5000,
