Source DataFile                                                                                                                ,      DATE,     TIME,       Time__mSec,     PIF,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_RAT,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-------------------------------------------------------------------------------------------------------------------------------,----------,---------,-----------------,--------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\MURIS_202105121521_MaBe3414_445_caloxy_data.csv                                                                   ,2021/05/12, 15:25:13,    1620843913212,-1502.28,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      3.984,   369.390,    590.920,    221.530,  0.3749,  0.5997,    73.24,  0.5360,     0.000,    2.521,  0.000,     1343,  0.000,     5571,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.535,   577.25,   308.83,  1.145,       3.33,    0.000,    600.00,  209.06,   0.010,     0.0,     0.0,     0.0,     0.0,    2210,    1.5000,
C:\LIFT\DATA\MURIS_202105121521_MaBe3414_445_caloxy_data.csv                                                                   ,2021/05/12, 15:25:16,    1620843915827,-1502.56,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.721,   385.150,    588.570,    203.420,  0.3456,  0.5282,    72.45,  0.4170,     0.000,    2.487,  0.000,     1519,  0.000,     6719,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.506,   498.40,   252.10,  0.630,       3.05,    0.000,    600.00,  160.39,   0.010,     0.0,     0.0,     0.0,     0.0,    2702,    1.5000,
C:\LIFT\DATA\MURIS_202105121521_MaBe3414_445_caloxy_data.csv                                                                   ,2021/05/12, 15:28:17,    1620844097438,-1482.17,     0.0000,      0.0000,  NO DATA,    '10000,    80.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.218,   472.930,    759.810,    286.880,  0.3776,  0.6066,    75.62,  0.4730,     0.000,    2.811,  0.000,      660,  0.000,     1130,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.495,  2304.31,  1139.69,  1.837,       4.00,    0.000,    600.00,  176.91,   0.010,     0.0,     0.0,     0.0,     0.0,     402,    1.5000,
C:\LIFT\DATA\MURIS_202105121521_MaBe3414_445_caloxy_data.csv                                                                   ,2021/05/12, 15:28:20,    1620844099829,-1502.76,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.812,   429.940,    772.670,    342.730,  0.4436,  0.7972,    71.56,  0.4100,     0.000,    3.088,  0.000,     1230,  0.000,     3699,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.484,   930.83,   450.69,  0.957,       3.75,    0.000,    600.00,  243.89,   0.010,     0.0,     0.0,     0.0,     0.0,    1198,    1.5000,
C:\LIFT\DATA\MURIS_202105121521_MaBe3414_445_caloxy_data.csv                                                                   ,2021/05/12, 15:31:21,    1620844281185,-1455.91,     0.0000,      0.0000,  NO DATA,    '10000,   160.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.307,   476.780,    740.110,    263.330,  0.3558,  0.5523,    76.52,  0.4730,     0.000,    2.720,  0.000,      666,  0.000,     1043,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.500,  2304.44,  1153.32,  1.744,       4.13,    0.000,    600.00,  166.20,   0.010,     0.0,     0.0,     0.0,     0.0,     383,    1.5000,
C:\LIFT\DATA\MURIS_202105121521_MaBe3414_445_caloxy_data.csv                                                                   ,2021/05/12, 15:31:23,    1620844283434,-1502.99,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.723,   432.470,    759.560,    327.090,  0.4306,  0.7563,    70.92,  0.3890,     0.000,    2.833,  0.000,     1233,  0.000,     3193,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.475,   972.24,   462.26,  0.983,       4.63,    0.000,    600.00,  218.70,   0.010,     0.0,     0.0,     0.0,     0.0,    1127,    1.5000,
C:\LIFT\DATA\MURIS_202105121521_MaBe3414_445_caloxy_data.csv                                                                   ,2021/05/12, 15:34:24,    1620844464770,-1398.15,     0.0000,      0.0000,  NO DATA,    '10000,   320.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.479,   485.250,    725.010,    239.760,  0.3307,  0.4941,    75.34,  0.4400,     0.000,    3.146,  0.000,      682,  0.000,     1022,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.487,  2442.95,  1190.92,  1.738,       4.12,    0.000,    600.00,  148.75,   0.010,     0.0,     0.0,     0.0,     0.0,     325,    1.5000,
C:\LIFT\DATA\MURIS_202105121521_MaBe3414_445_caloxy_data.csv                                                                   ,2021/05/12, 15:34:27,    1620844467022,-1498.98,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.309,   430.830,    736.390,    305.560,  0.4149,  0.7092,    69.44,  0.3540,     0.000,    2.735,  0.000,     1312,  0.000,     3363,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.461,   919.41,   424.22,  0.799,       4.87,    0.000,    600.00,  203.24,   0.010,     0.0,     0.0,     0.0,     0.0,    1230,    1.5000,
C:\LIFT\DATA\MURIS_202105121521_MaBe3414_445_caloxy_data.csv                                                                   ,2021/05/12, 15:37:28,    1620844648332,-1497.68,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.632,   374.640,    600.360,    225.720,  0.3760,  0.6025,    72.48,  0.5080,     0.000,    2.500,  0.000,     1296,  0.000,     5421,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.521,   605.19,   315.55,  1.206,       3.77,    0.000,    600.00,  184.48,   0.010,     0.0,     0.0,     0.0,     0.0,    2168,    1.5000,
