----,
DateTime:        , 2022/05/04, 13:13:21, 1651680801531,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,         -291.77,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #00001,
Gain:,             10,       5, 
Sio:,     93.98,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
  120,      943.3,     83.299,     890.350,    893.061,
  121,      998.3,     82.991,     892.451,    889.327,
  122,     1055.8,     83.210,     887.010,    885.559,
  123,     1115.8,     83.521,     882.148,    881.836,
  124,     1178.3,     84.065,     874.080,    878.171,
  125,     1245.8,     83.609,     876.463,    874.349,
  126,     1315.8,     84.078,     869.917,    870.566,
  127,     1388.3,     84.456,     864.489,    866.951,
  128,     1465.8,     84.153,     864.290,    863.241,
  129,     1545.8,     84.156,     862.600,    859.674,
  130,     1630.8,     84.158,     861.275,    856.014,
  131,     1720.8,     84.759,     852.441,    852.279,
  132,     1815.8,     84.907,     848.235,    848.607,
  133,     1913.3,     85.125,     844.998,    845.214,
  134,     2015.8,     85.195,     842.876,    841.858,
  135,     2123.3,     85.037,     840.915,    838.557,
  136,     2238.3,     85.495,     835.113,    835.068,
  137,     2358.3,     85.714,     831.441,    831.751,
  138,     2483.3,     86.020,     825.437,    828.577,
  139,     2615.8,     86.253,     822.253,    825.369,
  140,     2753.3,     86.095,     822.589,    822.360,
  141,     2898.3,     85.936,     822.128,    819.322,
  142,     3050.8,     86.086,     819.057,    816.285,
  143,     3210.8,     86.625,     812.212,    813.304,
  144,     3378.3,     86.621,     810.750,    810.453,
  145,     3555.8,     86.926,     806.641,    807.529,
  146,     3740.8,     87.073,     802.997,    804.760,
  147,     3935.8,     87.149,     801.610,    801.994,
  148,     4140.8,     87.062,     801.138,    799.265,
  149,     4355.8,     87.593,     794.678,    796.570,
  150,     4580.8,     87.664,     792.874,    794.004,
  151,     4818.3,     88.045,     787.837,    791.410,
  152,     5068.3,     88.129,     787.431,    788.872,
  153,     5330.8,     87.913,     786.542,    786.394,
  154,     5605.8,     87.993,     785.722,    783.967,
  155,     5895.8,     88.076,     783.057,    781.555,
  156,     6200.8,     88.240,     782.404,    779.200,
  157,     6520.8,     88.689,     777.521,    776.935,
  158,     6855.8,     88.988,     773.675,    774.800,
  159,     7208.3,     88.748,     775.439,    772.717,
  160,     7578.3,     89.426,     769.008,    770.669,
  161,     7965.8,     89.334,     770.133,    768.771,
  162,     8373.3,     89.642,     766.476,    766.893,
  163,     8800.8,     89.396,     766.468,    765.115,
  164,     9250.8,     89.769,     764.272,    763.354,
  165,     9723.3,     90.081,     759.522,    761.704,
  166,    10220.8,     90.232,     757.778,    760.122,
  167,    10743.3,     89.699,     761.476,    758.626,
  168,    11290.8,     89.860,     760.359,    757.187,
  169,    11865.8,     90.314,     755.821,    755.836,
  170,    12470.8,     90.186,     755.436,    754.568,
  171,    13105.8,     90.295,     753.621,    753.363,
  172,    13773.3,     90.943,     748.067,    752.224,
