----,,,,,,
DateTime:,      2021/06/11, 15:18:27,1.62344E+12,,,
PIF:,-603.9,,,,,
PARs:,0,0,0,0,0,0
Light:,0,0,0,0,0,0
Lamps:,    #10000,,,,,
Gain:,5,2, ,,,
S/N Ratio:,269.93,,,,,
Position:,0,0,   NoData,,,
Cycles:,1,,,,,
1,99,100,227,,,
DataPt,  Time(us),         EX,         EM,       Fit,,
==========,==========,==========,==========,=========,,
163,8800.8,179.21,418.472,0,,
164,9250.8,179.778,416.693,0,,
165,9723.3,179.108,417.028,0,,
166,10220.8,179.283,416.402,0,,
167,10743.3,179.426,414.992,0,,
168,11290.8,179.272,414.351,0,,
169,11865.8,179.367,412.681,0,,
170,12470.8,179.72,412.305,0,,
171,13105.8,179.327,411.75,0,,
172,13773.3,179.161,411.914,0,,
173,14475.8,179.272,411.11,0,,
174,15213.3,178.884,411.357,0,,
175,15988.3,179.806,408.694,0,,
176,16800.8,179.281,409.698,0,,
177,17655.8,179.189,409.042,0,,
178,18553.3,178.822,409.437,0,,
179,19495.8,178.852,409.066,0,,
180,20485.8,178.891,407.913,0,,
181,21525.8,178.352,408.792,0,,
182,22618.3,178.583,407.727,0,,
183,23768.3,178.493,407.597,0,,
184,24975.8,178.768,406.381,0,,
185,26243.3,178.582,405.43,0,,
186,27575.8,178.457,406.004,0,,
187,28975.8,179.003,404.063,0,,
188,30445.8,178.505,404.775,0,,
189,31990.8,179.188,403.457,0,,
190,33613.3,178.083,404.056,0,,
191,35318.3,178.621,402.785,0,,
192,37108.3,178.365,402.467,0,,
193,38990.8,178.312,402.623,0,,
194,40968.3,178.185,402.108,0,,
195,43045.8,177.045,404.426,0,,
196,45228.3,178.585,400.434,0,,
197,47520.8,177.96,401.785,0,,
198,49928.3,178.491,400.62,0,,
199,52458.3,178.065,400.344,0,,
200,55115.8,177.861,400.337,0,,
201,57908.3,178.352,400.012,0,,
202,60843.3,177.557,400.04,0,,
203,63925.8,177.372,400.364,0,,
204,67163.3,178.123,397.944,0,,
205,70565.8,178.195,399.291,0,,
206,74140.8,178.015,397.788,0,,
207,77895.8,177.603,398.723,0,,
208,81840.8,177.208,399.307,0,,
209,85985.8,177.714,397.296,0,,
