----,
DateTime:,      2021/06/11, 11:38:04, 1623422283796,
PIF:,           -616.76,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #00001,
Gain:,           5,    2, 
S/N Ratio:,    34.52,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
  146,     3740.8,     87.424,    1931.828,
  147,     3935.8,     87.353,    1928.820,
  148,     4140.8,     87.936,    1913.258,
  149,     4355.8,     87.882,    1913.253,
  150,     4580.8,     87.860,    1911.458,
  151,     4818.3,     87.680,    1912.626,
  152,     5068.3,     87.758,    1910.037,
  153,     5330.8,     88.526,    1892.994,
  154,     5605.8,     88.193,    1900.076,
  155,     5895.8,     88.505,    1889.777,
  156,     6200.8,     88.009,    1895.874,
  157,     6520.8,     89.016,    1873.063,
  158,     6855.8,     88.861,    1874.720,
  159,     7208.3,     87.257,    1905.033,
  160,     7578.3,     87.958,    1886.910,
  161,     7965.8,     89.341,    1857.933,
  162,     8373.3,     89.877,    1846.847,
  163,     8800.8,     89.039,    1861.699,
  164,     9250.8,     89.189,    1853.890,
  165,     9723.3,     88.728,    1861.536,
  166,    10220.8,     89.698,    1837.806,
  167,    10743.3,     89.744,    1835.718,
  168,    11290.8,     88.215,    1864.338,
  169,    11865.8,     89.478,    1838.058,
  170,    12470.8,     89.398,    1837.024,
  171,    13105.8,     89.198,    1838.141,
  172,    13773.3,     89.942,    1821.607,
  173,    14475.8,     89.047,    1836.509,
  174,    15213.3,     89.775,    1820.475,
  175,    15988.3,     89.590,    1822.921,
  176,    16800.8,     90.819,    1795.366,
  177,    17655.8,     90.148,    1806.646,
  178,    18553.3,     88.351,    1840.829,
  179,    19495.8,     89.680,    1812.083,
  180,    20485.8,     89.867,    1807.033,
  181,    21525.8,     88.874,    1826.066,
  182,    22618.3,     90.022,    1798.860,
  183,    23768.3,     89.850,    1800.339,
  184,    24975.8,     90.256,    1794.395,
  185,    26243.3,     89.540,    1804.603,
  186,    27575.8,     90.096,    1791.164,
  187,    28975.8,     90.082,    1789.559,
  188,    30445.8,     90.571,    1779.098,
  189,    31990.8,     89.582,    1796.871,
  190,    33613.3,     90.090,    1784.173,
  191,    35318.3,     90.055,    1784.793,
