----,,,,,,
DateTime:,      2021/06/11, 15:00:55,1.62343E+12,,,
PIF:,-591.58,,,,,
PARs:,0,0,0,0,0,0
Light:,0,0,0,0,0,0
Lamps:,    #00001,,,,,
Gain:,5,2, ,,,
S/N Ratio:,57.83,,,,,
Position:,0,0,   NoData,,,
Cycles:,1,,,,,
1,99,100,227,,,
DataPt,  Time(us),         EX,         EM,       Fit,,
==========,==========,==========,==========,=========,,
0,0,0,0,0,,
1,0.8,89.329,5195.18,0,,
2,3.3,88.844,5276.367,0,,
3,5.8,88.536,5358.281,0,,
4,8.3,88.245,5416.986,0,,
5,10.8,88.357,5467.608,0,,
6,13.3,88.076,5546.147,0,,
7,15.8,87.721,5629.43,0,,
8,18.3,86.754,5750.556,0,,
9,20.8,85.594,5883.631,0,,
10,23.3,86.339,5889.593,0,,
11,25.8,85.382,6011.369,0,,
12,28.3,85.515,6067.026,0,,
13,30.8,84.831,6187.603,0,,
14,33.3,85.437,6214.676,0,,
15,35.8,85.161,6304.985,0,,
16,38.3,84.519,6423.444,0,,
17,40.8,84.077,6519.968,0,,
18,43.3,83.901,6596.146,0,,
19,45.8,84.322,6618.921,0,,
20,48.3,83.346,6755.975,0,,
21,50.8,83.205,6825.322,0,,
22,53.3,82.602,6933.476,0,,
23,55.8,82.979,6958.416,0,,
24,58.3,82.474,7054.131,0,,
25,60.8,82.56,7100.093,0,,
26,63.3,82.59,7146.149,0,,
27,65.8,83.042,7152.774,0,,
28,68.3,82.351,7255.319,0,,
29,70.8,81.502,7373.068,0,,
30,73.3,80.635,7493.072,0,,
31,75.8,81.749,7430.283,0,,
32,78.3,81.937,7450.602,0,,
33,80.8,81.52,7524.549,0,,
34,83.3,80.951,7611.084,0,,
35,85.8,81.061,7628.625,0,,
36,88.3,81.954,7577.227,0,,
37,90.8,80.702,7721.056,0,,
38,93.3,80.359,7781.385,0,,
39,95.8,80.41,7799.839,0,,
40,98.3,80.149,7850.142,0,,
41,100.8,80.825,7801.847,0,,
42,103.3,79.677,7937.521,0,,
43,105.8,80.644,7858.995,0,,
44,108.3,80.457,7895.694,0,,
45,110.8,79.57,8003.54,0,,
46,113.3,79.788,7995.221,0,,
47,115.8,79.954,7990.113,0,,
48,118.3,80.245,7974.884,0,,
49,120.8,79.891,8024.21,0,,
50,123.3,80.206,8003.187,0,,
51,125.8,80.496,7985.554,0,,
52,128.3,79.007,8143.819,0,,
53,130.8,78.963,8155.773,0,,
54,133.3,79.708,8087.546,0,,
55,135.8,79.187,8147.087,0,,
56,138.3,78.531,8223.028,0,,
57,140.8,78.331,8250.388,0,,
58,143.3,78.504,8236.077,0,,
59,145.8,78.562,8232.75,0,,
60,148.3,78.854,8206.531,0,,
61,150.8,79.049,8191.879,0,,
62,153.3,78.982,8201.679,0,,
63,155.8,79.064,8194.13,0,,
64,158.3,78.576,8247.806,0,,
65,160.8,78.937,8209.07,0,,
66,163.3,78.944,8211.362,0,,
67,165.8,79.781,8124.553,0,,
68,168.3,79.109,8194.046,0,,
69,170.8,79.898,8110.157,0,,
70,173.3,78.154,8292.413,0,,
71,175.8,78.556,8246.889,0,,
72,178.3,77.995,8306.932,0,,
73,180.8,77.691,8336.636,0,,
74,183.3,78.674,8229.921,0,,
75,185.8,77.619,8339.48,0,,
76,188.3,78.007,8294.694,0,,
77,190.8,78.434,8245.134,0,,
78,193.3,78.621,8220.766,0,,
79,195.8,77.368,8352.78,0,,
80,198.3,77.609,8321.995,0,,
81,200.8,77.583,8320.13,0,,
82,203.3,78.378,8229.612,0,,
83,205.8,76.609,8416.493,0,,
84,208.3,76.344,8441.501,0,,
85,210.8,78.038,8252.417,0,,
86,213.3,77.506,8303.933,0,,
87,215.8,77.425,8307.181,0,,
88,218.3,77.629,8280.69,0,,
89,220.8,77.663,8271.347,0,,
90,223.3,77.668,8267.816,0,,
91,225.8,76.549,8378.177,0,,
92,228.3,76.743,8352.834,0,,
93,230.8,76.204,8404.513,0,,
94,233.3,76.589,8357.071,0,,
95,235.8,76.842,8320.748,0,,
96,238.3,76.858,8314.348,0,,
97,240.8,75.928,8408.531,0,,
98,243.3,76.931,8291.624,0,,
99,245.8,76.019,8386.084,0,,
100,250.8,76.898,8370.829,0,,
101,273.3,79.589,8214.7,0,,
102,295.8,80.997,8097.924,0,,
103,318.3,80.452,8150.307,0,,
104,343.3,80.955,8081.69,0,,
105,368.3,80.861,8061.912,0,,
106,395.8,81.754,7948.274,0,,
107,423.3,81.543,7930.84,0,,
108,453.3,81.525,7896.078,0,,
109,483.3,82.126,7800.378,0,,
110,515.8,82.804,7699.164,0,,
111,550.8,83.727,7572.966,0,,
112,585.8,84.09,7506.067,0,,
113,623.3,83.829,7487.251,0,,
114,663.3,83.089,7512.103,0,,
115,705.8,83.5,7433.242,0,,
116,748.3,82.983,7446.085,0,,
117,793.3,84.316,7293.961,0,,
118,840.8,84.688,7228.907,0,,
119,890.8,83.899,7269.485,0,,
120,943.3,84.247,7209.308,0,,
121,998.3,85.059,7111.122,0,,
122,1055.8,84.653,7115.161,0,,
123,1115.8,83.677,7167.423,0,,
124,1178.3,85.084,7023.327,0,,
125,1245.8,84.429,7044.724,0,,
126,1315.8,85.358,6941.413,0,,
127,1388.3,83.665,7056.301,0,,
128,1465.8,84.492,6963.111,0,,
129,1545.8,84.707,6917.339,0,,
130,1630.8,85.243,6847.664,0,,
131,1720.8,85.918,6768.748,0,,
132,1815.8,84.275,6875.779,0,,
133,1913.3,85.674,6739.543,0,,
134,2015.8,86.593,6645.648,0,,
135,2123.3,86.908,6600.945,0,,
136,2238.3,86.382,6615.661,0,,
137,2358.3,85.915,6630.428,0,,
138,2483.3,86.998,6527.918,0,,
139,2615.8,86.61,6534.096,0,,
140,2753.3,86.949,6488.623,0,,
141,2898.3,87.044,6461.618,0,,
142,3050.8,85.759,6536.5,0,,
143,3210.8,87.084,6420.106,0,,
144,3378.3,86.787,6420.719,0,,
145,3555.8,87.374,6358.367,0,,
146,3740.8,86.884,6376.508,0,,
147,3935.8,87.906,6282.42,0,,
148,4140.8,87.214,6315.597,0,,
149,4355.8,88.043,6236.587,0,,
150,4580.8,88.414,6194.207,0,,
151,4818.3,87.509,6237.673,0,,
152,5068.3,87.574,6215.945,0,,
153,5330.8,88.686,6122.677,0,,
154,5605.8,87.483,6187.878,0,,
155,5895.8,89.049,6065.149,0,,
156,6200.8,88.387,6093.147,0,,
157,6520.8,89.201,6021.612,0,,
158,6855.8,88.493,6054.652,0,,
159,7208.3,89.252,5985.659,0,,
160,7578.3,89.01,5989.371,0,,
161,7965.8,88.942,5979.32,0,,
162,8373.3,89.148,5950.741,0,,
163,8800.8,88.892,5952.911,0,,
164,9250.8,90.253,5851.917,0,,
165,9723.3,89.044,5918.179,0,,
166,10220.8,89.831,5854.624,0,,
167,10743.3,89.137,5887.545,0,,
168,11290.8,89.609,5843.298,0,,
169,11865.8,90.279,5789.33,0,,
170,12470.8,89.179,5848.921,0,,
171,13105.8,90.177,5774.648,0,,
172,13773.3,90.48,5745.699,0,,
173,14475.8,89.988,5764.034,0,,
174,15213.3,90.61,5714.809,0,,
175,15988.3,89.983,5743.502,0,,
176,16800.8,90.393,5708.367,0,,
177,17655.8,90.016,5722.291,0,,
178,18553.3,90.314,5694.67,0,,
179,19495.8,89.737,5723.025,0,,
180,20485.8,89.906,5708.033,0,,
181,21525.8,90.564,5659.481,0,,
182,22618.3,89.368,5726.125,0,,
183,23768.3,90.925,5621.722,0,,
