Source DataFile                                                                                                                ,      DATE,     TIME,       Time__mSec,     PIF,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_RAT,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-------------------------------------------------------------------------------------------------------------------------------,----------,---------,-----------------,--------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\MURIS_202105131405_MaBe3414_590_caloxy_data.csv                                                                   ,2021/05/13, 14:09:08,    1620925748542,-1527.99,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      0.818,  2489.060,   3560.760,   1071.700,  0.3010,  0.4306,   328.06,  0.4500,     0.000,    3.140,  0.000,     1097,  0.000,     3114,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.400,   208.03,   499.25,  1.403,       2.00,    0.000,    600.00,   54.75,   0.010,     0.0,     0.0,     0.0,     0.0,     992,    1.5000,
C:\LIFT\DATA\MURIS_202105131405_MaBe3414_590_caloxy_data.csv                                                                   ,2021/05/13, 14:09:11,    1620925751191,-1528.23,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      0.869,  2498.150,   3372.970,    874.820,  0.2594,  0.3502,   282.95,  0.3690,     0.000,    3.376,  0.000,     1113,  0.000,     2132,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.968,   303.25,   596.82,  0.257,       2.00,    0.000,    600.00,   42.22,   0.010,     0.0,     0.0,     0.0,     0.0,     632,    1.5000,
C:\LIFT\DATA\MURIS_202105131405_MaBe3414_590_caloxy_data.csv                                                                   ,2021/05/13, 14:12:12,    1620925932480,-1272.20,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,   80.00,    0.00,      0.799,  3290.870,   4548.800,   1257.930,  0.2765,  0.3822,   257.95,  0.1480,     0.000,    2.076,  0.000,      541,  0.000,      649,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.619,   742.57,  1202.01,  1.041,       2.00,    0.000,    600.00,   39.10,   0.010,     0.0,     0.0,     0.0,     0.0,     313,    1.5000,
C:\LIFT\DATA\MURIS_202105131405_MaBe3414_590_caloxy_data.csv                                                                   ,2021/05/13, 14:12:14,    1620925934721,-1523.86,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      0.980,  2947.120,   4203.190,   1256.070,  0.2988,  0.4262,   374.83,  0.4220,     0.000,    3.571,  0.000,      904,  0.000,     1491,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.674,   296.52,   792.96,  1.160,       2.00,    0.000,    600.00,   56.59,   0.010,     0.0,     0.0,     0.0,     0.0,     418,    1.5000,
C:\LIFT\DATA\MURIS_202105131405_MaBe3414_590_caloxy_data.csv                                                                   ,2021/05/13, 14:15:16,    1620926115985, -992.24,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,  160.00,    0.00,      0.815,  3640.660,   4600.090,    959.430,  0.2086,  0.2635,   296.66,  0.0000,     0.000,    5.936,  0.000,      618,  0.000,      858,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.787,   734.47,  1312.17,  1.159,       2.00,    0.000,    600.00,   31.82,   0.010,     0.0,     0.0,     0.0,     0.0,     145,    1.5000,
C:\LIFT\DATA\MURIS_202105131405_MaBe3414_590_caloxy_data.csv                                                                   ,2021/05/13, 14:15:18,    1620926118315,-1528.07,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      0.808,  3068.550,   4473.870,   1405.320,  0.3141,  0.4580,   302.53,  0.3480,     0.000,    1.670,  0.000,      523,  0.000,      759,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.050,   525.75,  1077.73,  1.641,       2.00,    0.000,    600.00,   54.45,   0.010,     0.0,     0.0,     0.0,     0.0,     454,    1.5000,
C:\LIFT\DATA\MURIS_202105131405_MaBe3414_590_caloxy_data.csv                                                                   ,2021/05/13, 14:18:19,    1620926299536, -527.28,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,  320.00,    0.00,      1.043,  3491.840,   4028.070,    536.230,  0.1331,  0.1536,   456.73,  0.1850,     0.000,   50.000,  0.000,      606,  0.000,      606,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.913,   571.00,  1663.16,  0.860,       2.00,    0.000,    600.00,   15.67,   0.010,     0.0,     0.0,     0.0,     0.0,      12,    1.5000,
C:\LIFT\DATA\MURIS_202105131405_MaBe3414_590_caloxy_data.csv                                                                   ,2021/05/13, 14:18:21,    1620926301732,-1536.97,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      0.954,  2918.570,   4022.950,   1104.380,  0.2745,  0.3784,   319.76,  0.3020,     0.000,    3.208,  0.000,      818,  0.000,     1797,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.153,   348.94,   751.21,  1.276,       2.00,    0.000,    600.00,   43.51,   0.010,     0.0,     0.0,     0.0,     0.0,     560,    1.5000,
C:\LIFT\DATA\MURIS_202105131405_MaBe3414_590_caloxy_data.csv                                                                   ,2021/05/13, 14:21:23,    1620926483064,-1524.37,     0.0000,      0.0000,  NO DATA,    '00001,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.025,  2411.280,   3261.960,    850.680,  0.2608,  0.3528,   289.94,  0.3890,     0.000,    3.102,  0.000,      937,  0.000,     3325,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.046,   252.90,   517.50,  1.421,       2.00,    0.000,    600.00,   45.18,   0.010,     0.0,     0.0,     0.0,     0.0,    1072,    1.5000,
