Source DataFile                                                                                                                ,      DATE,     TIME,       Time__mSec,     PIF,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_RAT,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-------------------------------------------------------------------------------------------------------------------------------,----------,---------,-----------------,--------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\MURIS_202105131345_MaBe3414_445_caloxy_data.csv                                                                   ,2021/05/13, 13:51:05,    1620924665719,-1503.58,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.806,   341.210,    505.990,    164.780,  0.3257,  0.4829,    66.78,  0.4970,     0.000,    2.276,  0.000,     1391,  0.000,     6122,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.480,   553.84,   266.03,  0.571,       3.76,    0.000,    600.00,  129.01,   0.010,     0.0,     0.0,     0.0,     0.0,    2690,    1.5000,
C:\LIFT\DATA\MURIS_202105131345_MaBe3414_445_caloxy_data.csv                                                                   ,2021/05/13, 13:51:08,    1620924668623,-1504.88,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.457,   358.810,    503.500,    144.690,  0.2874,  0.4032,    67.29,  0.3670,     0.000,    2.236,  0.000,     1455,  0.000,     5823,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.458,   570.01,   261.04,  0.707,       4.06,    0.000,    600.00,  119.11,   0.010,     0.0,     0.0,     0.0,     0.0,    2604,    1.5000,
C:\LIFT\DATA\MURIS_202105131345_MaBe3414_445_caloxy_data.csv                                                                   ,2021/05/13, 13:54:10,    1620924850107,-1480.28,     0.0000,      0.0000,  NO DATA,    '10000,    80.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.404,   396.460,    578.550,    182.090,  0.3147,  0.4593,    68.77,  0.5110,     0.000,    3.363,  0.000,      734,  0.000,     1464,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.454,  2328.48,  1056.12,  1.741,       4.35,    0.000,    600.00,  124.45,   0.010,     0.0,     0.0,     0.0,     0.0,     435,    1.5000,
C:\LIFT\DATA\MURIS_202105131345_MaBe3414_445_caloxy_data.csv                                                                   ,2021/05/13, 13:54:12,    1620924852379,-1503.78,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.644,   374.500,    606.200,    231.700,  0.3822,  0.6187,    66.59,  0.4190,     0.000,    2.300,  0.000,     1425,  0.000,     2960,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.453,   890.49,   403.36,  0.791,       3.92,    0.000,    600.00,  170.46,   0.010,     0.0,     0.0,     0.0,     0.0,    1287,    1.5000,
C:\LIFT\DATA\MURIS_202105131345_MaBe3414_445_caloxy_data.csv                                                                   ,2021/05/13, 13:57:13,    1620925033693,-1464.92,     0.0000,      0.0000,  NO DATA,    '10000,   160.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.187,   396.280,    565.180,    168.900,  0.2988,  0.4262,    68.43,  0.5100,     0.000,    2.994,  0.000,      721,  0.000,     1227,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.450,  2442.05,  1098.39,  1.890,       4.10,    0.000,    600.00,  103.94,   0.010,     0.0,     0.0,     0.0,     0.0,     410,    1.5000,
C:\LIFT\DATA\MURIS_202105131345_MaBe3414_445_caloxy_data.csv                                                                   ,2021/05/13, 13:57:16,    1620925036020,-1504.25,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.788,   371.070,    576.970,    205.900,  0.3569,  0.5549,    71.31,  0.4220,     0.000,    2.309,  0.000,     1525,  0.000,     2702,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.487,   830.20,   404.57,  0.728,       4.77,    0.000,    600.00,  165.09,   0.010,     0.0,     0.0,     0.0,     0.0,    1170,    1.5000,
C:\LIFT\DATA\MURIS_202105131345_MaBe3414_445_caloxy_data.csv                                                                   ,2021/05/13, 14:00:17,    1620925217356,-1415.59,     0.0000,      0.0000,  NO DATA,    '10000,   320.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.243,   400.080,    548.680,    148.600,  0.2708,  0.3714,    72.30,  0.5120,     0.000,    3.724,  0.000,      768,  0.000,     1318,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.477,  2304.26,  1099.83,  1.640,       4.37,    0.000,    600.00,   92.06,   0.010,     0.0,     0.0,     0.0,     0.0,     354,    1.5000,
C:\LIFT\DATA\MURIS_202105131345_MaBe3414_445_caloxy_data.csv                                                                   ,2021/05/13, 14:00:19,    1620925219629,-1498.19,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.736,   365.140,    573.370,    208.230,  0.3632,  0.5703,    64.22,  0.3790,     0.000,    2.223,  0.000,     1441,  0.000,     2757,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.430,   942.77,   405.15,  0.571,       5.36,    0.000,    600.00,  169.19,   0.010,     0.0,     0.0,     0.0,     0.0,    1240,    1.5000,
C:\LIFT\DATA\MURIS_202105131345_MaBe3414_445_caloxy_data.csv                                                                   ,2021/05/13, 14:03:21,    1620925400919,-1501.26,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.788,   338.150,    496.940,    158.790,  0.3195,  0.4696,    70.03,  0.5090,     0.000,    2.270,  0.000,     1423,  0.000,     6237,  0.000,    10000, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.509,   511.01,   259.91,  0.902,       3.37,    0.000,    600.00,  133.14,   0.010,     0.0,     0.0,     0.0,     0.0,    2748,    1.5000,
