----,
DateTime:,      2021/05/12, 14:05:12, 1620839112517,
PIF:,          -1498.70,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #10000,
Gain:,           2,    2, 
S/N Ratio:,   198.67,
Position:,    0.0,        0.0,   NoData,
Cycles:,        1,
     1,        99,        100,        227,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,
    1,        0.8,    177.232,     367.498,
    2,        3.3,    182.837,     368.757,
    3,        5.8,    184.700,     369.965,
    4,        8.3,    184.395,     370.847,
    5,       10.8,    184.005,     371.905,
    6,       13.3,    184.186,     373.711,
    7,       15.8,    184.649,     374.399,
    8,       18.3,    183.977,     376.311,
    9,       20.8,    184.182,     376.978,
   10,       23.3,    184.178,     379.430,
   11,       25.8,    183.861,     380.354,
   12,       28.3,    184.264,     382.237,
   13,       30.8,    184.120,     383.893,
   14,       33.3,    184.431,     385.687,
   15,       35.8,    184.253,     386.329,
   16,       38.3,    184.029,     388.703,
   17,       40.8,    184.190,     391.076,
   18,       43.3,    183.841,     391.820,
   19,       45.8,    184.042,     393.836,
   20,       48.3,    184.073,     395.401,
   21,       50.8,    184.066,     397.045,
   22,       53.3,    184.124,     398.549,
   23,       55.8,    184.226,     399.957,
   24,       58.3,    184.080,     401.360,
   25,       60.8,    184.232,     402.929,
   26,       63.3,    184.154,     403.372,
   27,       65.8,    184.627,     405.588,
   28,       68.3,    184.017,     408.292,
   29,       70.8,    183.971,     410.296,
   30,       73.3,    184.248,     411.034,
   31,       75.8,    183.877,     414.040,
   32,       78.3,    184.255,     414.004,
   33,       80.8,    184.423,     414.984,
   34,       83.3,    184.436,     415.767,
   35,       85.8,    184.476,     417.846,
   36,       88.3,    184.085,     421.720,
   37,       90.8,    184.255,     421.060,
   38,       93.3,    183.956,     423.648,
   39,       95.8,    184.332,     423.326,
   40,       98.3,    184.206,     425.514,
   41,      100.8,    184.005,     427.609,
   42,      103.3,    184.090,     429.585,
   43,      105.8,    183.876,     431.990,
   44,      108.3,    184.136,     431.652,
   45,      110.8,    184.026,     435.168,
   46,      113.3,    183.744,     436.654,
   47,      115.8,    184.526,     437.512,
   48,      118.3,    183.602,     440.260,
   49,      120.8,    184.018,     441.437,
   50,      123.3,    184.568,     442.288,
   51,      125.8,    184.082,     444.000,
   52,      128.3,    183.757,     445.873,
   53,      130.8,    183.511,     448.652,
   54,      133.3,    183.849,     449.458,
   55,      135.8,    183.582,     451.746,
   56,      138.3,    183.773,     452.366,
   57,      140.8,    183.727,     454.110,
   58,      143.3,    183.835,     455.205,
   59,      145.8,    183.918,     456.630,
   60,      148.3,    184.371,     457.678,
   61,      150.8,    184.199,     459.733,
   62,      153.3,    184.176,     460.878,
   63,      155.8,    184.172,     462.788,
   64,      158.3,    184.257,     462.844,
   65,      160.8,    184.027,     464.782,
   66,      163.3,    184.016,     466.983,
   67,      165.8,    183.522,     470.694,
   68,      168.3,    183.438,     472.272,
   69,      170.8,    183.932,     471.818,
   70,      173.3,    183.625,     473.969,
   71,      175.8,    184.006,     475.434,
   72,      178.3,    183.994,     476.279,
   73,      180.8,    183.990,     477.919,
   74,      183.3,    183.771,     481.210,
   75,      185.8,    183.947,     480.479,
   76,      188.3,    184.260,     482.103,
   77,      190.8,    183.639,     484.278,
   78,      193.3,    183.970,     485.310,
   79,      195.8,    183.736,     487.832,
   80,      198.3,    183.940,     488.923,
   81,      200.8,    183.464,     490.737,
   82,      203.3,    183.575,     492.347,
   83,      205.8,    184.162,     492.677,
   84,      208.3,    184.004,     493.916,
   85,      210.8,    183.771,     496.174,
   86,      213.3,    183.585,     496.677,
   87,      215.8,    183.487,     499.121,
   88,      218.3,    183.849,     498.956,
   89,      220.8,    183.174,     502.160,
   90,      223.3,    183.483,     502.675,
   91,      225.8,    183.670,     504.069,
   92,      228.3,    184.030,     504.443,
   93,      230.8,    183.492,     507.556,
   94,      233.3,    183.736,     507.425,
   95,      235.8,    183.803,     509.145,
   96,      238.3,    184.035,     509.863,
   97,      240.8,    183.628,     512.898,
   98,      243.3,    183.527,     514.543,
   99,      245.8,    183.816,     514.822,
  100,      250.8,    182.633,     514.325,
  101,      273.3,    182.412,     519.333,
  102,      295.8,    182.504,     517.960,
  103,      318.3,    182.314,     516.584,
